system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_2_67_132,2826,2189,1342,1618,1670,2388,3620,3915,4356,4116,-0.1179125,-0.21303259,0.44573516,-0.4583194,2,0.37706478132973453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58489921178861,31.447776669687265]}"
1_1_2_67_133,2817,2157,1148,1453,1480,2384,3734,4018,4496,4254,-0.13549945,-0.22959115,0.5046854,-0.51151454,2,0.4975006295761918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58500442383213,31.44777783213902]}"
1_1_2_67_134,2817,2157,1045,1389,1368,2384,3734,4018,4400,4254,-0.13084112,-0.21934322,0.5256588,-0.5201244,2,0.2541231997037702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58510963588172,31.447778994504407]}"
1_1_2_67_135,2681,2030,1000,1347,1368,2117,3508,3836,4340,4038,-0.13750133,-0.23629113,0.52067274,-0.52628803,2,0.1820745932707386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58521484793741,31.447780156783416]}"
1_1_2_67_136,2681,2030,1084,1400,1427,2117,3508,3836,4124,4038,-0.11807643,-0.21204996,0.4858584,-0.49312094,2,0.06665210402332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58532005999919,31.44778131897605]}"
1_1_2_67_137,2711,2221,1048,1291,1255,2062,3157,3450,3850,3722,-0.105144404,-0.17360158,0.50832516,-0.49776307,2,0.18133549975529006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58300675385173,31.447665532509827]}"
1_1_2_67_139,2895,2467,1376,1827,1922,2300,3097,3269,3712,3506,-0.02735992,-0.12365673,0.3177139,-0.34031415,2,0.20843854944703444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58321717752405,31.44766786042828]}"
1_1_2_67_140,2922,2540,1565,2014,2144,2409,2899,3014,3272,3211,0.023124306,-0.056506295,0.20827179,-0.23798713,2,0.45125023481729576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58332238936936,31.44766902425794]}"
1_1_2_67_141,2922,2540,1561,1956,2130,2409,2899,3014,2864,3211,0.06616018,0.0100241965,0.14697637,-0.18838175,2,0.4601044803993469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58342760122075,31.447670188001233]}"
1_1_2_67_142,3027,2553,1654,2012,2100,2524,3219,3360,2922,3537,0.05678656,0.017650025,0.16367981,-0.18443453,2,0.646384799949125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58353281307824,31.447671351658148]}"
1_1_2_67_143,3027,2553,1892,2224,2412,2524,3219,3360,3542,3537,4.598547E-4,-0.07839854,0.18978837,-0.22858134,2,0.07655146632153975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5836380249418,31.447672515228692]}"
